dates,u,gdp
10/1/97,4.8,11210.3
1/1/98,4.633333333,11321.2
4/1/98,4.533333333,11431
7/1/98,4.466666667,11580.6
10/1/98,4.533333333,11770.7
1/1/99,4.366666667,11864.7
4/1/99,4.3,11962.5
7/1/99,4.266666667,12113.1
10/1/99,4.166666667,12323.3
1/1/00,4.033333333,12359.1
4/1/00,3.966666667,12592.5
7/1/00,4,12607.7
10/1/00,3.966666667,12679.3
1/1/01,4,12643.3
4/1/01,4.3,12710.3
7/1/01,4.466666667,12670.1
10/1/01,5.066666667,12705.3
1/1/02,5.633333333,12822.3
4/1/02,5.766666667,12893
7/1/02,5.8,12955.8
10/1/02,5.7,12964
1/1/03,5.9,13031.2
4/1/03,5.933333333,13152.1
7/1/03,6.2,13372.4
10/1/03,6.066666667,13528.7
1/1/04,5.733333333,13606.5
4/1/04,5.666666667,13706.2
7/1/04,5.566666667,13830.8
10/1/04,5.433333333,13950.4
1/1/05,5.366666667,14099.1
4/1/05,5.266666667,14172.7
7/1/05,5.033333333,14291.8
10/1/05,4.966666667,14373.4
1/1/06,4.866666667,14546.1
4/1/06,4.733333333,14589.6
7/1/06,4.633333333,14602.6
10/1/06,4.533333333,14716.9
1/1/07,4.5,14726
4/1/07,4.466666667,14838.7
7/1/07,4.566666667,14938.5
10/1/07,4.666666667,14991.8
1/1/08,4.9,14889.5
4/1/08,5,14963.4
7/1/08,5.6,14891.6
10/1/08,6.233333333,14577
1/1/09,7.3,14375
4/1/09,8.666666667,14355.6
7/1/09,9.466666667,14402.5
10/1/09,9.8,14541.9
1/1/10,9.866666667,14604.8
4/1/10,9.866666667,14745.9
7/1/10,9.466666667,14845.5
10/1/10,9.466666667,14939
1/1/11,9.433333333,14881.3
4/1/11,9.033333333,14989.6
7/1/11,9.033333333,15021.1
10/1/11,8.933333333,15190.3
1/1/12,8.466666667,15291
4/1/12,8.233333333,15362.4
7/1/12,8.2,15380.8
10/1/12,7.866666667,15384.3
1/1/13,7.866666667,15457.2
4/1/13,7.6,15500.2
7/1/13,7.433333333,15614.4
10/1/13,7.2,15761.5
1/1/14,6.766666667,15724.9
4/1/14,6.5,15901.5
7/1/14,6.2,16068.8
10/1/14,5.9,16151.4
1/1/15,5.7,16177.3
4/1/15,5.466666667,16333.6
7/1/15,5.366666667,16417.8
