date,CPI
2024-06-02,95.0567
2024-07-02,94.5557
2024-08-02,94.5243
2024-09-02,94.6676
2024-10-02,95.2205
2024-11-02,95.045
2024-12-02,94.9867
2024-01-03,95.0626
2024-02-03,95.1562
2024-03-03,95.5392
2024-04-03,95.7291
2024-05-03,95.5757
2024-06-03,95.5776
2024-07-03,94.8114
2024-08-03,95.0321
2024-09-03,95.1698
2024-10-03,95.6525
2024-11-03,95.5322
2024-12-03,95.5507
2024-01-04,95.2266
2024-02-04,95.2425
2024-03-04,95.4465
2024-04-04,96.2516
2024-05-04,96.4741
2024-06-04,96.6405
2024-07-04,95.6291
2024-08-04,95.9835
2024-09-04,95.989
2024-10-04,96.8889
2024-11-04,96.9819
2024-12-04,96.8233
2024-01-05,96.3739
2024-02-05,96.5857
2024-03-05,96.822
2024-04-05,97.6146
2024-05-05,97.5177
2024-06-05,97.2985
2024-07-05,96.7662
2024-08-05,96.9056
2024-09-05,97.3296
2024-10-05,98.1807
2024-11-05,97.9047
2024-12-05,97.7977
2024-01-06,97.618
2024-02-06,97.9221
2024-03-06,97.8181
2024-04-06,98.6485
2024-05-06,98.8458
2024-06-06,98.8184
2024-07-06,98.1448
2024-08-06,98.3128
2024-09-06,98.1023
2024-10-06,98.4346
2024-11-06,98.392
2024-12-06,98.405
2024-01-07,97.7176
2024-02-07,97.9109
2024-03-07,97.9872
2024-04-07,99.0963
2024-05-07,99.3281
2024-06-07,99.4418
2024-07-07,98.8518
2024-08-07,98.7413
2024-09-07,98.8353
2024-10-07,99.6792
2024-11-07,100.1336
2024-12-07,100.3771
2024-01-08,100.0885
2024-02-08,100.2261
2024-03-08,100.5651
2024-04-08,101.3596
2024-05-08,102.1644
2024-06-08,102.3373
2024-07-08,101.8913
2024-08-08,101.6259
2024-09-08,101.7284
2024-10-08,102.2689
2024-11-08,101.5878
2024-12-08,101.0807
2024-01-09,100.2278
2024-02-09,100.4641
2024-03-09,100.1385
2024-04-09,101.0213
2024-05-09,101.1824
2024-06-09,101.364
2024-07-09,100.6913
2024-08-09,100.8028
2024-09-09,100.7899
2024-10-09,101.4163
2024-11-09,101.6121
2024-12-09,101.3664
2024-01-10,101.2538
2024-02-10,101.4012
2024-03-10,101.5402
2024-04-10,102.408
2024-05-10,102.3023
2024-06-10,101.8569
2024-07-10,101.1127
2024-08-10,101.0986
2024-09-10,101.0752
2024-10-10,101.613
2024-11-10,101.857
2024-12-10,101.8931
2024-01-11,101.5358
2024-02-11,101.9185
2024-03-11,102.5599
2024-04-11,102.6731
2024-05-11,102.6798
2024-06-11,102.4317
2024-07-11,101.59
2024-08-11,101.293
2024-09-11,101.5662
2024-10-11,101.4987
2024-11-11,101.3215
2024-12-11,101.1649
2024-01-12,100.7342
2024-02-12,101.018
2024-03-12,101.5812
2024-04-12,101.6571
2024-05-12,101.639
2024-06-12,101.3523
2024-07-12,100.8645
2024-08-12,100.8341
2024-09-12,101.1483
2024-10-12,101.2732
2024-11-12,100.9412
2024-12-12,100.7254
2024-01-13,100.4625
2024-02-13,100.7593
2024-03-13,100.9782
2024-04-13,101.0122
2024-05-13,101.1233
2024-06-13,101.2227
2024-07-13,100.8617
2024-08-13,100.7891
2024-09-13,101.0923
2024-10-13,101.0147
