DATE,GDPC1,GFDEGDQ188S
1992-04-01,10347.429,61.57938
1992-07-01,10449.673,61.89802
1992-10-01,10558.648,62.52256
1993-01-01,10576.275,62.86657
1993-04-01,10637.847,63.91524
1993-07-01,10688.606,64.10093
1993-10-01,10833.987,64.66861
1994-01-01,10939.116,64.30709
1994-04-01,11087.361,64.10716
1994-07-01,11152.176,64.01176
1994-10-01,11279.932,64.38584
1995-01-01,11319.951,64.66271
1995-04-01,11353.721,65.31294
1995-07-01,11450.310,64.73906
1995-10-01,11528.067,64.18282
1996-01-01,11614.418,65.04171
1996-04-01,11808.140,64.24970
1996-07-01,11914.063,64.25469
1996-10-01,12037.775,64.44697
1997-01-01,12115.472,64.34428
1997-04-01,12317.221,63.10907
1997-07-01,12471.010,62.48709
1997-10-01,12577.495,62.77032
1998-01-01,12703.742,62.50988
1998-04-01,12821.339,61.85196
1998-07-01,12982.752,60.58693
1998-10-01,13191.670,60.40696
1999-01-01,13315.597,60.04894
1999-04-01,13426.748,59.19227
1999-07-01,13604.771,58.39258
1999-10-01,13827.980,58.34336
2000-01-01,13878.147,57.72134
2000-04-01,14130.908,55.48491
2000-07-01,14145.312,54.99213
2000-10-01,14229.765,54.25790
2001-01-01,14183.120,55.14434
2001-04-01,14271.694,54.03165
2001-07-01,14214.516,54.79763
2001-10-01,14253.574,55.75216
2002-01-01,14372.785,55.69650
2002-04-01,14460.848,56.27087
2002-07-01,14519.633,56.70260
2002-10-01,14537.580,57.91028
2003-01-01,14614.141,57.81906
2003-04-01,14743.567,58.96101
2003-07-01,14988.782,58.64541
2003-10-01,15162.760,59.44466
2004-01-01,15248.680,59.80710
2004-04-01,15366.850,60.05487
2004-07-01,15512.619,59.96643
2004-10-01,15670.880,60.63713
2005-01-01,15844.727,60.91302
2005-04-01,15922.782,60.64153
2005-07-01,16047.587,60.35856
2005-10-01,16136.734,61.32008
2006-01-01,16353.835,61.55642
2006-04-01,16396.151,61.22142
2006-07-01,16420.738,61.33280
2006-10-01,16561.866,61.82689
2007-01-01,16611.690,62.25297
2007-04-01,16713.314,61.57219
2007-07-01,16809.587,61.84826
2007-10-01,16915.191,62.71924
2008-01-01,16843.003,64.17278
2008-04-01,16943.291,63.85172
2008-07-01,16854.295,67.28455
2008-10-01,16485.350,73.24515
2009-01-01,16298.262,77.10496
2009-04-01,16269.145,80.28013
